epoch,accuracy,f1_m,loss,lr,val_accuracy,val_f1_m,val_loss
0,0.4139426052570343,0.4136869013309479,3.0057132244110107,0.01,0.4690767526626587,0.4739363491535187,3.3955869674682617
1,0.6260998845100403,0.6187950372695923,0.9918221235275269,0.009499999,0.6264345645904541,0.636005699634552,1.1974279880523682
2,0.7287991642951965,0.7241160869598389,0.6586368680000305,0.009024999,0.7558020949363708,0.7514251470565796,0.6900824904441833
3,0.7775557637214661,0.7762885093688965,0.5000490546226501,0.008573749,0.7874266505241394,0.7868103981018066,0.6109648942947388
4,0.8179383873939514,0.816737949848175,0.40532341599464417,0.008145061,0.8362025022506714,0.828650176525116,0.4890817403793335
5,0.8276726603507996,0.8294896483421326,0.3840392827987671,0.007737808,0.8487630486488342,0.8459270596504211,0.4449184834957123
6,0.8430605530738831,0.8461146354675293,0.3363274931907654,0.007350918,0.8659142851829529,0.8543796539306641,0.4201047718524933
7,0.8579383492469788,0.8587610125541687,0.29854410886764526,0.006983372,0.8896327614784241,0.8839925527572632,0.3521007299423218
8,0.8697555661201477,0.8719577789306641,0.2743653357028961,0.0066342033,0.893968403339386,0.8937803506851196,0.32697588205337524
9,0.8778746128082275,0.878442108631134,0.25442013144493103,0.006302493,0.9017469882965088,0.9012830257415771,0.3009394109249115
10,0.8843358159065247,0.8864977359771729,0.24112282693386078,0.005987368,0.911757230758667,0.9105918407440186,0.27134090662002563
11,0.8936875462532043,0.8945301175117493,0.21573328971862793,0.005688,0.9087605476379395,0.9107811450958252,0.26606684923171997
12,0.901423990726471,0.9024433493614197,0.20278118550777435,0.0054036,0.9175593256950378,0.9177341461181641,0.24793170392513275
13,0.9065674543380737,0.907924473285675,0.19444088637828827,0.0051334193,0.9254016876220703,0.9259600043296814,0.225710928440094
14,0.9087353944778442,0.9100577235221863,0.18534988164901733,0.0048767487,0.9317138195037842,0.9317035675048828,0.2113524079322815
15,0.9163017868995667,0.9172422885894775,0.17128150165081024,0.004632911,0.9342642426490784,0.9353437423706055,0.20181213319301605
16,0.9204676151275635,0.9213545322418213,0.16002964973449707,0.0044012656,0.9320326447486877,0.9321991801261902,0.20013195276260376
17,0.922933042049408,0.9233746528625488,0.15944407880306244,0.004181202,0.9366870522499084,0.9363865852355957,0.19447270035743713
18,0.9266737699508667,0.9275051951408386,0.14833126962184906,0.0039721425,0.9380897879600525,0.9393123388290405,0.1857379823923111
19,0.9275239109992981,0.9282068610191345,0.14939555525779724,0.0037735351,0.9419791102409363,0.9432586431503296,0.1734209507703781
