epoch,accuracy,f1_m,loss,lr,val_accuracy,val_f1_m,val_loss
0,0.7614452838897705,0.7627717852592468,12.749786376953125,0.00094999996,0.5484570264816284,0.5606490969657898,6.396478176116943
1,0.8789798021316528,0.8817206621170044,5.668851852416992,0.00090249995,0.8491456508636475,0.845623254776001,4.819378852844238
2,0.9134112596511841,0.915921151638031,5.412227153778076,0.0008573749,0.8668707013130188,0.8748010993003845,5.358674049377441
3,0.9324973225593567,0.9346668124198914,4.833399295806885,0.0008145062,0.653596043586731,0.6646824479103088,5.820862293243408
4,0.945844829082489,0.9466012120246887,4.516992092132568,0.00077378086,0.9283345937728882,0.9316425323486328,4.75871467590332
5,0.9538788795471191,0.9553570747375488,3.8632140159606934,0.00073509186,0.9707344770431519,0.9711924195289612,3.2140204906463623
6,0.9560892581939697,0.9575672745704651,3.7850723266601562,0.0006983372,0.9613618850708008,0.9628683924674988,3.8650124073028564
7,0.9585972428321838,0.9603517055511475,3.6270596981048584,0.00066342036,0.96034175157547,0.9594756364822388,3.904385566711426
8,0.9657385945320129,0.9669225811958313,3.1978750228881836,0.0006302493,0.9797883033752441,0.9800305366516113,2.691226005554199
9,0.9678639769554138,0.9681907296180725,2.7018895149230957,0.00059873686,0.9498214721679688,0.9540181756019592,2.4625065326690674
10,0.9722847938537598,0.9726577997207642,2.647505760192871,0.0005688001,0.9707344770431519,0.971611499786377,2.9248642921447754
11,0.9718597531318665,0.9729353785514832,2.4749755859375,0.00054036005,0.9762815833091736,0.9769819974899292,2.8702685832977295
12,0.9719447493553162,0.9731813669204712,2.3839004039764404,0.000513342,0.979341983795166,0.9801987409591675,2.4235825538635254
13,0.9749202728271484,0.9760616421699524,2.243696451187134,0.00048767487,0.9767916202545166,0.9765398502349854,2.019670009613037
14,0.9768756628036499,0.9772207140922546,2.1137683391571045,0.00046329116,0.9776842594146729,0.9783236980438232,2.49493145942688
15,0.9783634543418884,0.9791994690895081,1.8283119201660156,0.00044012658,0.9873118996620178,0.9876369833946228,1.8090872764587402
16,0.9799362421035767,0.980381190776825,1.8224180936813354,0.00041812027,0.9868655800819397,0.9874311089515686,1.8302258253097534
17,0.9826567769050598,0.9833236932754517,1.5289509296417236,0.00039721426,0.987503170967102,0.9880430698394775,1.4117568731307983
